      --------Part 1--------   --------Part 2--------
Day       Time   Rank  Score       Time   Rank  Score
 17   00:36:53   1530      0   00:43:54   1428      0
 16   00:07:50    172      0   00:45:20   1020      0
 15   00:10:46    577      0   00:16:40    562      0
 14   00:11:28    461      0   00:24:26    355      0
 13   00:04:15     93      8   03:12:35   4606      0
 12   00:09:03    630      0   00:13:00    176      0
 11   00:11:25    280      0   00:27:55    717      0
 10   00:05:36    440      0   00:20:38    766      0
  9   00:09:13   1841      0   00:14:49   1262      0
  8   00:03:38    128      0   00:08:39    158      0
  7   00:14:33    511      0   00:21:33    419      0
  6   00:06:00   1610      0   00:15:16   2559      0
  5   00:05:45    353      0   00:09:48    477      0
  4   00:09:28   1280      0   00:35:46   1864      0
  3   00:08:24   1795      0   00:10:16    965      0
  2   00:03:47    336      0   00:05:55    258      0
  1   14:50:43  54794      0   14:59:56  50635      0
